,age,job,marital,education,default,housing,loan,contact,month,day_of_week
51,35,services,single,high.school,no,yes,yes,telephone,may,thu
52,37,blue-collar,married,basic.6y,no,no,no,cellular,may,mon
53,34,blue-collar,married,basic.4y,no,yes,no,cellular,jul,wed
54,32,admin.,single,high.school,no,yes,no,telephone,may,tue
55,41,blue-collar,married,basic.9y,no,no,yes,cellular,may,wed
56,52,management,married,university.degree,no,unknown,unknown,cellular,aug,thu
57,32,admin.,single,university.degree,no,yes,no,cellular,aug,thu
58,49,technician,married,university.degree,no,yes,no,telephone,nov,thu
59,35,admin.,married,university.degree,no,no,no,telephone,may,tue
60,39,blue-collar,divorced,basic.9y,unknown,no,no,cellular,may,wed
61,37,services,married,high.school,no,yes,yes,cellular,may,thu
62,35,blue-collar,single,basic.9y,unknown,no,no,telephone,may,wed
63,34,technician,married,professional.course,no,no,no,cellular,nov,thu
64,28,admin.,single,university.degree,no,no,no,cellular,may,mon
65,50,services,married,unknown,no,yes,no,cellular,nov,thu
66,37,technician,married,professional.course,no,yes,no,telephone,may,thu
67,48,technician,married,basic.9y,no,no,no,cellular,sep,tue
68,80,retired,divorced,basic.4y,no,no,yes,cellular,dec,fri
69,44,technician,divorced,professional.course,no,no,no,cellular,aug,wed
70,58,admin.,married,high.school,no,yes,no,cellular,jul,thu
71,49,entrepreneur,single,university.degree,no,yes,no,cellular,aug,wed
72,28,admin.,single,high.school,no,no,no,cellular,jul,mon
73,36,admin.,single,high.school,no,yes,no,cellular,apr,fri
74,42,technician,married,basic.9y,no,no,no,telephone,may,tue
75,56,management,married,high.school,no,yes,no,cellular,jul,fri
76,59,unemployed,married,basic.9y,no,yes,no,cellular,mar,mon
77,32,admin.,single,university.degree,no,yes,yes,telephone,jun,mon
78,57,technician,married,professional.course,unknown,yes,no,cellular,aug,fri
79,35,services,single,basic.4y,no,yes,no,telephone,may,tue
80,47,services,married,high.school,no,yes,no,cellular,may,fri
81,76,retired,married,basic.4y,no,yes,no,cellular,sep,mon
82,27,blue-collar,single,basic.4y,no,no,no,cellular,may,tue
83,55,retired,married,high.school,no,yes,no,telephone,may,tue
84,45,technician,married,university.degree,no,yes,no,telephone,may,thu
85,40,admin.,married,high.school,no,no,no,telephone,jun,tue
86,26,admin.,single,university.degree,no,yes,no,cellular,may,thu
87,25,services,married,high.school,no,no,no,cellular,jul,wed
88,38,entrepreneur,married,basic.9y,no,yes,no,cellular,jul,fri
89,37,management,married,university.degree,no,yes,no,cellular,aug,tue
90,47,entrepreneur,married,university.degree,no,yes,no,telephone,may,fri
91,34,admin.,single,high.school,no,yes,no,telephone,may,wed
92,57,admin.,married,university.degree,no,yes,no,telephone,jul,tue
93,46,management,married,university.degree,no,yes,no,cellular,may,thu
94,30,admin.,divorced,university.degree,no,no,no,cellular,aug,thu
95,56,admin.,married,high.school,no,yes,no,telephone,jun,wed
96,32,technician,married,professional.course,no,yes,no,telephone,nov,tue
97,45,unknown,married,unknown,unknown,no,no,telephone,may,mon
98,32,entrepreneur,married,basic.4y,no,yes,no,telephone,nov,wed
99,43,technician,divorced,professional.course,unknown,yes,no,cellular,apr,mon
100,30,admin.,married,university.degree,no,no,yes,telephone,jun,wed
101,34,admin.,married,university.degree,no,no,no,telephone,jun,fri
102,31,management,single,university.degree,no,yes,yes,cellular,may,mon
103,54,admin.,married,university.degree,unknown,yes,no,telephone,jun,wed
104,39,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,fri
105,51,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,thu
106,40,blue-collar,married,unknown,no,no,no,telephone,may,tue
107,42,technician,single,high.school,no,no,no,telephone,may,mon
108,31,admin.,married,university.degree,no,yes,no,cellular,may,thu
109,34,admin.,single,university.degree,no,yes,no,cellular,aug,thu
110,45,blue-collar,married,basic.6y,no,no,no,cellular,may,tue
111,36,services,married,high.school,unknown,no,no,cellular,may,fri
112,51,blue-collar,divorced,basic.9y,no,no,yes,cellular,may,wed
113,46,blue-collar,married,basic.9y,unknown,no,no,telephone,may,fri
114,34,admin.,single,university.degree,no,yes,no,cellular,aug,wed
115,50,admin.,married,basic.6y,no,no,no,cellular,aug,tue
116,49,blue-collar,married,basic.9y,unknown,yes,no,cellular,mar,mon
117,46,services,married,basic.6y,no,yes,no,cellular,aug,fri
118,39,admin.,married,university.degree,no,yes,no,telephone,jun,thu
119,24,student,single,unknown,no,yes,no,cellular,may,thu
120,48,blue-collar,married,basic.4y,unknown,no,no,cellular,nov,fri
121,35,technician,married,high.school,no,no,no,telephone,may,wed
122,24,admin.,married,unknown,no,yes,no,cellular,jul,wed
123,30,self-employed,single,high.school,no,yes,yes,telephone,may,fri
124,39,entrepreneur,married,basic.9y,unknown,no,no,telephone,may,thu
125,32,admin.,single,professional.course,no,no,no,cellular,may,thu
126,32,management,married,university.degree,no,no,no,cellular,may,fri
127,60,retired,married,university.degree,no,yes,no,cellular,oct,mon
128,31,unemployed,single,university.degree,no,yes,no,cellular,jul,tue
129,35,admin.,married,university.degree,no,yes,no,cellular,nov,wed
130,32,management,single,university.degree,no,yes,no,cellular,mar,tue
131,29,services,married,high.school,no,yes,yes,cellular,jul,mon
132,57,retired,married,basic.9y,unknown,yes,no,cellular,aug,fri
133,49,unemployed,married,basic.4y,unknown,no,no,cellular,may,wed
134,27,admin.,single,unknown,no,yes,no,telephone,jul,tue
135,27,blue-collar,single,basic.6y,no,yes,yes,telephone,jun,wed
136,36,admin.,married,professional.course,no,yes,no,telephone,jun,tue
137,53,admin.,married,university.degree,no,yes,yes,cellular,dec,mon
138,31,technician,married,university.degree,no,yes,no,telephone,may,mon
139,52,management,divorced,university.degree,no,no,no,telephone,may,tue
140,42,self-employed,married,university.degree,no,yes,no,telephone,may,wed
141,33,admin.,single,university.degree,no,no,no,cellular,aug,mon
142,48,technician,married,university.degree,no,no,no,cellular,nov,tue
143,57,technician,married,basic.9y,no,yes,no,telephone,may,wed
144,38,admin.,married,basic.6y,no,no,no,cellular,jul,thu
145,36,technician,married,university.degree,no,yes,no,cellular,aug,tue
146,52,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri
147,56,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon
148,33,management,married,university.degree,no,no,yes,telephone,may,fri
149,29,technician,single,university.degree,no,yes,no,telephone,may,mon
150,58,unemployed,married,professional.course,unknown,yes,no,cellular,aug,thu
151,34,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue
152,42,blue-collar,married,basic.4y,no,no,no,telephone,may,tue
153,59,self-employed,married,university.degree,no,yes,no,telephone,aug,mon
154,58,retired,married,basic.4y,no,yes,no,cellular,aug,fri
155,43,blue-collar,married,basic.4y,no,yes,no,cellular,may,thu
156,73,retired,married,basic.4y,no,yes,yes,cellular,apr,mon
157,40,blue-collar,married,basic.6y,unknown,no,no,telephone,may,tue
158,38,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,thu
159,31,entrepreneur,married,university.degree,no,yes,no,cellular,jul,fri
160,43,management,married,university.degree,no,no,no,cellular,jun,thu
161,36,blue-collar,married,basic.4y,unknown,no,no,cellular,may,tue
162,43,unemployed,married,basic.4y,no,no,no,cellular,may,wed
163,36,blue-collar,married,basic.9y,no,no,no,telephone,nov,thu
164,49,services,married,high.school,no,yes,no,cellular,aug,tue
165,44,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed
166,39,services,married,high.school,no,no,no,telephone,may,wed
167,49,blue-collar,divorced,high.school,no,yes,no,cellular,may,wed
168,36,management,single,university.degree,no,no,no,cellular,jul,mon
169,46,admin.,married,high.school,unknown,yes,no,cellular,may,wed
170,38,blue-collar,single,basic.4y,no,yes,no,telephone,may,thu
171,49,admin.,single,high.school,no,no,no,telephone,jul,thu
172,26,technician,single,university.degree,no,yes,no,cellular,dec,tue
173,33,technician,single,high.school,no,yes,no,cellular,jul,fri
174,47,technician,married,professional.course,no,no,no,cellular,jul,mon
175,50,housemaid,single,unknown,no,no,no,telephone,jun,mon
176,34,admin.,single,high.school,no,no,no,telephone,jun,fri
177,37,unemployed,married,university.degree,no,yes,no,telephone,may,fri
178,32,technician,married,professional.course,no,no,no,cellular,oct,wed
179,44,self-employed,single,professional.course,no,yes,no,cellular,may,mon
180,48,technician,divorced,professional.course,no,yes,yes,telephone,may,fri
181,38,technician,single,university.degree,no,yes,yes,cellular,aug,fri
182,32,technician,married,basic.9y,unknown,no,no,telephone,jun,thu
183,30,self-employed,married,university.degree,no,no,no,cellular,jun,mon
184,38,admin.,married,university.degree,unknown,yes,no,cellular,aug,fri
185,50,entrepreneur,married,university.degree,no,no,no,cellular,nov,mon
186,41,admin.,married,university.degree,no,yes,no,cellular,dec,thu
187,27,technician,single,professional.course,no,no,no,cellular,jul,mon
188,36,blue-collar,married,basic.9y,no,no,yes,cellular,may,fri
189,55,management,married,university.degree,no,yes,no,cellular,aug,wed
190,24,student,single,high.school,no,yes,no,cellular,jun,wed
191,53,unemployed,married,basic.9y,no,yes,no,cellular,nov,wed
192,41,technician,married,professional.course,no,yes,no,cellular,apr,tue
193,43,management,single,university.degree,no,yes,no,telephone,may,thu
194,40,blue-collar,divorced,basic.9y,no,no,no,cellular,nov,fri
195,44,blue-collar,married,basic.4y,no,yes,no,cellular,aug,mon
196,50,admin.,married,high.school,no,no,no,telephone,jun,fri
197,32,technician,single,university.degree,no,no,no,telephone,may,wed
198,42,services,married,high.school,no,yes,no,telephone,may,tue
199,32,admin.,single,university.degree,no,yes,no,cellular,aug,thu
200,52,admin.,divorced,university.degree,no,yes,no,cellular,nov,tue
201,30,services,married,high.school,unknown,no,no,telephone,may,wed
202,40,admin.,single,high.school,no,no,yes,telephone,jun,tue
203,29,management,single,university.degree,unknown,yes,no,telephone,jun,wed
204,31,blue-collar,married,basic.9y,no,no,no,telephone,may,tue
205,24,blue-collar,single,basic.4y,no,no,no,cellular,jul,wed
206,38,housemaid,married,unknown,unknown,yes,no,cellular,jul,mon
207,37,admin.,married,university.degree,no,yes,yes,cellular,apr,thu
208,48,admin.,married,basic.9y,no,yes,yes,cellular,nov,fri
209,37,management,single,university.degree,no,no,no,cellular,may,tue
210,32,services,married,professional.course,no,unknown,unknown,telephone,jun,wed
211,55,management,married,university.degree,no,yes,no,cellular,apr,fri
212,44,unemployed,married,university.degree,unknown,no,yes,telephone,may,mon
213,54,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,thu
214,58,unemployed,divorced,high.school,no,no,no,cellular,jul,mon
215,51,admin.,married,university.degree,no,yes,yes,cellular,mar,fri
216,41,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,tue
217,46,blue-collar,married,basic.9y,unknown,yes,no,telephone,apr,mon
218,23,services,single,high.school,no,no,yes,cellular,jul,wed
219,33,blue-collar,single,basic.9y,unknown,no,no,cellular,may,mon
220,35,technician,married,professional.course,no,no,yes,cellular,jul,thu
221,34,admin.,divorced,high.school,no,no,no,cellular,aug,wed
222,37,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed
223,47,admin.,married,university.degree,no,yes,no,cellular,nov,fri
224,46,entrepreneur,married,high.school,no,no,no,cellular,jun,tue
225,46,admin.,single,high.school,unknown,no,no,cellular,jul,thu
226,28,admin.,married,high.school,no,yes,no,telephone,jul,tue
227,30,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon
228,27,self-employed,single,university.degree,no,unknown,unknown,cellular,aug,mon
229,30,blue-collar,single,basic.9y,no,no,no,telephone,may,wed
230,31,management,single,university.degree,no,yes,no,cellular,aug,mon
231,48,admin.,divorced,university.degree,no,no,no,telephone,may,tue
232,32,blue-collar,married,university.degree,no,no,no,cellular,jul,tue
233,74,retired,married,university.degree,no,yes,no,cellular,aug,wed
234,37,services,single,basic.9y,no,no,no,cellular,may,tue
235,35,blue-collar,single,basic.9y,no,yes,no,cellular,may,fri
236,37,technician,single,professional.course,no,yes,no,cellular,may,mon
237,36,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,thu
238,49,admin.,married,high.school,no,no,yes,cellular,jul,fri
239,35,technician,married,university.degree,unknown,no,no,telephone,jun,mon
240,42,services,married,high.school,unknown,yes,yes,cellular,aug,fri
241,50,technician,divorced,professional.course,no,no,no,telephone,may,mon
242,48,services,married,basic.4y,unknown,yes,no,cellular,aug,tue
243,31,admin.,single,university.degree,no,yes,no,cellular,aug,thu
244,54,blue-collar,married,basic.9y,no,no,no,cellular,may,thu
245,43,admin.,married,high.school,no,yes,no,cellular,may,fri
246,57,technician,married,basic.4y,unknown,no,no,telephone,may,thu
247,45,admin.,divorced,university.degree,no,yes,yes,cellular,jul,mon
248,31,admin.,married,university.degree,no,no,no,cellular,aug,tue
249,54,technician,divorced,basic.9y,unknown,no,no,telephone,may,fri
250,39,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue
251,80,retired,married,illiterate,unknown,yes,yes,cellular,aug,tue
252,32,technician,married,professional.course,no,yes,no,cellular,aug,wed
253,49,technician,married,unknown,no,no,no,cellular,apr,fri
254,38,admin.,divorced,basic.9y,no,no,no,cellular,oct,wed
255,58,retired,married,university.degree,no,yes,no,telephone,may,mon
256,28,admin.,married,high.school,unknown,yes,yes,cellular,jul,tue
257,36,admin.,single,university.degree,no,no,no,cellular,nov,wed
258,43,technician,single,university.degree,no,no,no,telephone,may,tue
259,39,technician,married,professional.course,no,yes,no,cellular,apr,thu
260,27,blue-collar,single,basic.6y,no,yes,yes,cellular,jul,tue
261,37,entrepreneur,divorced,high.school,no,no,no,cellular,nov,wed
262,35,admin.,married,high.school,no,no,no,cellular,jul,thu
263,29,technician,single,professional.course,no,yes,no,cellular,nov,fri
264,57,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri
265,33,admin.,single,university.degree,no,yes,no,cellular,apr,fri
266,79,retired,married,basic.9y,no,yes,yes,cellular,may,mon
267,50,housemaid,married,unknown,no,no,no,cellular,aug,tue
268,29,admin.,single,high.school,no,yes,no,cellular,nov,thu
269,48,technician,married,university.degree,no,no,no,cellular,aug,fri
270,32,admin.,divorced,high.school,no,no,no,cellular,may,mon
271,34,blue-collar,married,basic.4y,no,yes,yes,telephone,jun,fri
272,46,management,married,university.degree,unknown,yes,no,telephone,may,thu
273,30,technician,single,university.degree,no,no,no,cellular,aug,mon
274,38,technician,married,university.degree,no,yes,no,cellular,nov,thu
275,50,blue-collar,married,basic.6y,no,yes,no,cellular,may,fri
276,30,technician,married,university.degree,unknown,yes,no,telephone,may,thu
277,30,blue-collar,married,basic.9y,no,no,yes,telephone,jul,wed
278,27,admin.,single,high.school,no,yes,no,telephone,jul,thu
279,46,admin.,married,basic.9y,unknown,no,no,telephone,may,fri
280,36,admin.,divorced,high.school,no,yes,yes,telephone,jun,fri
281,36,technician,married,university.degree,no,no,no,cellular,nov,wed
282,38,admin.,single,university.degree,no,yes,no,cellular,jul,wed
283,32,technician,single,professional.course,no,no,no,cellular,may,thu
284,52,technician,married,professional.course,no,yes,no,telephone,apr,mon
285,29,services,single,high.school,no,yes,no,telephone,may,thu
286,44,services,divorced,high.school,no,no,no,cellular,apr,tue
287,33,admin.,single,university.degree,no,yes,yes,telephone,jun,wed
288,42,technician,married,professional.course,no,yes,yes,cellular,may,thu
289,26,blue-collar,married,basic.9y,no,no,no,cellular,jul,wed
290,32,admin.,married,high.school,no,yes,no,cellular,may,fri
291,46,admin.,divorced,university.degree,unknown,yes,yes,telephone,jul,thu
292,48,management,married,basic.9y,no,yes,no,telephone,jun,fri
293,46,admin.,married,high.school,no,no,yes,telephone,jun,fri
294,39,blue-collar,married,basic.9y,no,no,no,cellular,may,tue
295,30,admin.,married,high.school,no,yes,no,cellular,may,tue
296,27,entrepreneur,married,university.degree,no,yes,no,cellular,may,mon
297,37,technician,married,professional.course,no,yes,no,telephone,may,wed
298,26,student,single,university.degree,no,no,no,telephone,dec,mon
299,44,blue-collar,married,basic.4y,no,yes,no,cellular,jul,tue
300,35,blue-collar,married,basic.9y,no,yes,no,telephone,jun,tue
301,25,services,married,high.school,unknown,yes,yes,telephone,may,mon
302,32,admin.,married,university.degree,no,no,no,cellular,aug,mon
303,38,technician,married,university.degree,no,yes,yes,cellular,may,wed
304,27,technician,single,high.school,unknown,no,yes,telephone,may,tue
305,46,admin.,divorced,university.degree,no,yes,no,telephone,jun,fri
306,28,blue-collar,divorced,high.school,no,no,no,cellular,may,thu
307,40,technician,married,professional.course,no,yes,no,cellular,aug,thu
308,33,housemaid,married,basic.4y,no,yes,no,cellular,apr,mon
309,34,admin.,divorced,university.degree,no,no,no,cellular,aug,tue
310,25,admin.,single,university.degree,no,no,yes,cellular,apr,fri
311,38,blue-collar,single,high.school,unknown,yes,no,telephone,jun,fri
312,43,blue-collar,married,basic.4y,no,yes,no,telephone,jun,wed
313,53,technician,married,professional.course,no,yes,no,telephone,sep,fri
314,64,retired,married,university.degree,no,no,no,telephone,apr,mon
315,45,unemployed,married,basic.9y,no,no,no,cellular,aug,fri
316,49,management,married,university.degree,no,yes,no,cellular,nov,fri
317,30,self-employed,married,university.degree,no,yes,no,telephone,jul,thu
318,58,blue-collar,married,basic.4y,unknown,yes,no,telephone,aug,wed
319,37,blue-collar,married,high.school,no,no,no,cellular,apr,mon
320,30,admin.,married,unknown,no,yes,no,cellular,nov,thu
321,43,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,thu
322,25,self-employed,single,university.degree,no,no,no,cellular,aug,wed
323,40,technician,single,university.degree,no,no,no,cellular,nov,mon
324,38,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,tue
325,37,blue-collar,married,professional.course,no,yes,no,telephone,jun,thu
326,37,entrepreneur,divorced,high.school,no,no,no,cellular,nov,wed
327,39,admin.,single,high.school,no,unknown,unknown,cellular,nov,fri
328,50,technician,married,university.degree,no,yes,no,telephone,may,fri
329,40,services,married,unknown,unknown,no,no,cellular,apr,mon
330,37,services,married,high.school,no,unknown,unknown,telephone,jun,fri
331,27,technician,single,basic.9y,no,no,no,cellular,apr,wed
332,27,admin.,single,university.degree,no,no,no,cellular,sep,wed
333,35,admin.,married,university.degree,no,yes,no,cellular,oct,thu
334,35,blue-collar,married,basic.4y,unknown,no,no,cellular,apr,mon
335,32,technician,single,professional.course,no,yes,no,cellular,may,mon
336,35,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri
337,52,management,married,university.degree,no,no,no,telephone,nov,mon
338,54,admin.,married,university.degree,no,no,yes,cellular,jul,tue
339,36,self-employed,single,university.degree,no,no,yes,cellular,apr,tue
340,26,technician,single,university.degree,no,yes,no,cellular,jul,thu
341,44,admin.,divorced,university.degree,no,yes,no,cellular,jul,thu
342,36,admin.,single,university.degree,no,yes,no,telephone,jul,thu
343,40,entrepreneur,married,high.school,no,no,no,telephone,jun,mon
344,49,self-employed,married,university.degree,no,no,no,cellular,nov,thu
345,32,unknown,married,basic.6y,unknown,no,no,telephone,may,tue
346,52,admin.,divorced,university.degree,no,no,no,cellular,aug,wed
347,30,admin.,married,university.degree,no,no,no,telephone,may,wed
348,34,blue-collar,divorced,basic.4y,no,yes,no,cellular,apr,fri
349,32,blue-collar,single,basic.9y,no,no,no,cellular,may,wed
350,35,blue-collar,married,high.school,no,no,no,telephone,jun,wed
351,44,entrepreneur,married,basic.9y,no,no,no,telephone,jun,fri
352,71,retired,married,university.degree,no,yes,no,cellular,aug,thu
353,53,management,married,university.degree,no,yes,no,cellular,nov,fri
354,56,management,divorced,high.school,no,no,no,telephone,may,tue
355,37,blue-collar,single,unknown,unknown,no,no,telephone,may,fri
356,36,admin.,married,university.degree,no,yes,no,telephone,jun,mon
357,36,admin.,married,university.degree,no,yes,no,cellular,may,fri
358,36,admin.,married,university.degree,no,yes,no,cellular,apr,thu
359,35,admin.,single,university.degree,no,no,no,telephone,aug,tue
360,52,admin.,married,high.school,no,unknown,unknown,telephone,may,wed
361,54,housemaid,married,high.school,no,yes,yes,cellular,apr,thu
362,81,unknown,divorced,unknown,unknown,yes,no,cellular,nov,mon
363,38,admin.,married,high.school,no,no,no,telephone,may,wed
364,30,technician,married,professional.course,no,yes,no,cellular,aug,tue
365,30,admin.,single,university.degree,no,no,yes,cellular,nov,thu
366,40,admin.,married,university.degree,no,yes,no,cellular,apr,fri
367,34,management,married,university.degree,no,no,no,cellular,apr,mon
368,49,management,married,university.degree,no,yes,no,telephone,jun,mon
369,25,unemployed,married,high.school,no,no,no,cellular,jun,thu
370,31,self-employed,married,university.degree,no,yes,no,cellular,jul,fri
371,35,unemployed,married,basic.4y,no,yes,no,cellular,nov,mon
372,21,student,single,high.school,no,yes,no,telephone,jun,tue
373,32,admin.,single,university.degree,no,yes,no,telephone,may,tue
374,35,technician,divorced,professional.course,no,yes,no,cellular,aug,tue
375,34,blue-collar,single,basic.9y,no,no,no,telephone,may,mon
376,52,services,married,basic.9y,unknown,yes,yes,cellular,aug,thu
377,33,admin.,married,university.degree,no,yes,yes,cellular,jul,fri
378,34,admin.,single,high.school,no,yes,no,telephone,may,tue
379,37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon
380,33,blue-collar,married,basic.4y,no,yes,yes,cellular,jul,wed
381,27,admin.,married,professional.course,no,yes,no,cellular,may,fri
382,53,self-employed,divorced,university.degree,no,yes,no,cellular,nov,mon
383,30,entrepreneur,single,university.degree,no,yes,no,cellular,nov,thu
384,25,services,divorced,high.school,no,yes,yes,cellular,jun,thu
385,39,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,tue
386,45,admin.,married,high.school,no,yes,yes,cellular,jul,mon
387,33,unknown,married,unknown,unknown,yes,no,telephone,jun,wed
388,35,admin.,single,university.degree,no,yes,no,cellular,jul,mon
389,34,technician,married,professional.course,no,no,yes,cellular,aug,fri
390,35,admin.,single,basic.4y,unknown,no,no,telephone,may,wed
391,36,technician,married,professional.course,no,yes,no,cellular,jul,wed
392,23,student,single,high.school,no,no,no,cellular,jul,tue
393,45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed
394,42,blue-collar,single,unknown,unknown,no,no,cellular,apr,mon
395,43,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue
396,29,student,single,high.school,no,yes,no,cellular,jul,thu
397,31,management,single,university.degree,no,no,no,cellular,jun,thu
398,43,blue-collar,single,basic.9y,no,yes,no,telephone,jun,wed
399,30,admin.,divorced,high.school,no,no,no,cellular,nov,thu
400,45,technician,married,high.school,no,yes,no,telephone,may,fri
401,44,admin.,single,basic.9y,no,no,no,cellular,jul,mon
402,29,blue-collar,single,basic.4y,unknown,yes,no,cellular,may,fri
403,34,admin.,single,high.school,no,yes,no,telephone,may,wed
404,21,student,single,high.school,no,yes,no,cellular,apr,mon
405,50,management,married,high.school,unknown,no,no,telephone,jun,fri
406,39,blue-collar,married,basic.6y,no,yes,no,telephone,jun,mon
407,34,services,married,high.school,no,no,no,telephone,may,mon
408,44,technician,married,professional.course,no,no,no,telephone,nov,tue
409,30,blue-collar,single,basic.9y,no,no,no,cellular,may,mon
410,57,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon
411,37,technician,single,university.degree,no,yes,no,telephone,may,thu
412,42,management,married,basic.9y,no,no,no,cellular,jul,thu
413,50,self-employed,married,basic.9y,unknown,no,no,cellular,may,thu
414,35,blue-collar,married,high.school,no,no,no,telephone,jun,fri
415,49,blue-collar,married,unknown,unknown,no,no,telephone,may,thu
416,36,blue-collar,married,basic.6y,no,yes,no,cellular,jul,tue
417,46,technician,married,professional.course,no,yes,yes,cellular,nov,fri
418,33,admin.,single,high.school,no,no,no,cellular,may,tue
419,47,services,divorced,high.school,no,no,no,telephone,may,mon
420,25,admin.,single,basic.9y,no,yes,no,cellular,jul,thu
421,59,admin.,married,university.degree,no,no,no,telephone,oct,tue
422,23,blue-collar,single,basic.4y,no,yes,no,telephone,apr,thu
423,57,admin.,married,university.degree,unknown,no,no,cellular,aug,wed
424,30,blue-collar,single,basic.9y,unknown,yes,no,cellular,apr,mon
425,50,entrepreneur,married,basic.9y,no,yes,no,telephone,jun,thu
426,31,admin.,divorced,university.degree,no,no,no,cellular,aug,thu
427,50,management,married,university.degree,no,no,yes,telephone,may,wed
428,27,admin.,single,high.school,no,no,no,telephone,may,wed
429,50,technician,married,university.degree,no,no,no,telephone,jul,fri
430,55,management,married,university.degree,no,no,no,cellular,aug,fri
431,54,retired,divorced,university.degree,no,yes,no,cellular,jul,tue
432,44,blue-collar,married,basic.6y,no,no,no,cellular,aug,mon
433,57,admin.,married,basic.6y,no,yes,no,cellular,may,fri
